,,Week 14 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Taylen Green,Arkansas,Missou,Ark,-,-,28,21.32,28,21.32,212.94,1.43,1.18,12.1,40.67,9.66,4.2,0.50
Gio Lopez,South Alabama,TxSt,TxSt,-,-,29,21.32,29,21.32,238.64,1.71,0.90,11.7,24.98,6.75,3.7,0.41
Quinn Ewers,Texas,TexA&M,Tex,-,-,30,21.22,30,21.22,286.78,1.91,0.58,12.9,6.07,4.99,1.2,0.25
Jaylen Raynor,Arkansas State,ODU,ODU,-,-,31,21.21,31,21.21,238.08,1.51,0.75,14.6,31.35,10.81,2.9,0.42
Carson Beck,Georgia,GaTech,GaTech,-,-,32,21.20,32,21.20,291.08,1.83,0.58,12.7,7.48,4.41,1.7,0.25
Miller Moss,USC,ND,ND,-,-,33,21.16,33,21.16,277.17,2.05,0.77,13.0,8.38,3.68,2.3,0.17
DJ Uiagalelei,Florida State,Fla,Fla,-,-,34,21.06,34,21.06,238.60,1.78,0.68,13.5,18.63,7.20,2.6,0.42
Donovan Smith,Houston,BYU,Hou,-,-,35,20.96,35,20.96,214.82,1.76,0.92,11.9,28.08,9.39,3.0,0.42
Jacob Zeno,UAB,Char,UAB,-,-,36,20.81,36,20.81,273.20,1.82,0.83,10.7,10.86,8.38,1.3,0.25
Maddux Madsen,Boise State,OreSt,OreSt,-,-,37,20.49,37,20.49,232.23,1.83,0.83,13.4,18.94,5.23,3.6,0.33
LaNorris Sellers,South Carolina,Clem,SCar,-,-,38,20.43,38,20.43,238.41,1.32,0.74,12.5,31.25,8.93,3.5,0.41
Tyler Shough,Louisville,Kty,Lou,-,-,39,20.40,39,20.40,247.63,1.84,1.00,11.5,16.37,5.26,3.1,0.25
Brayden Schager,Hawaii,NM,NM,-,-,40,20.31,40,20.31,276.90,2.02,1.09,10.6,6.48,8.17,0.8,0.08
Jalon Daniels,Kansas,Baylor,Kansas,-,-,41,19.98,41,19.98,204.04,1.60,0.34,12.8,28.97,9.01,3.2,0.42
JC French,Georgia Southern,App,App,-,-,42,19.95,42,19.95,267.83,1.83,1.08,10.7,9.00,6.00,1.5,0.17
Cameron Rising,Utah,UCF,Utah,-,-,43,19.80,43,19.80,210.63,1.65,0.58,12.1,27.91,5.61,5.0,0.33
Dequan Finn,Baylor,Kansas,Kansas,-,-,44,19.78,44,19.78,227.31,1.54,1.00,12.1,26.92,6.92,3.9,0.31
Nicholas Vattiato,Middle Tenn. St,FIU,MiddTn,-,-,45,19.73,45,19.73,232.58,1.66,0.99,12.2,23.04,7.96,2.9,0.25
Tucker Gleason,Toledo,Akron,Toledo,-,-,46,19.72,46,19.72,202.58,1.52,0.68,12.6,35.18,8.78,4.0,0.34
Josh Hoover,TCU,Cin,TCU,-,-,47,19.59,47,19.59,281.45,1.77,1.18,12.3,2.28,3.80,0.6,0.17
John Mateer,Washington State,Wyo,Wyo,-,-,48,19.58,48,19.58,232.36,1.52,0.76,11.5,21.56,8.27,2.6,0.34
TJ Finley,Western Kentucky,JacSt,JacSt,-,-,49,19.57,49,19.57,251.77,2.00,0.91,11.0,5.16,3.99,1.3,0.17
E.J. Warner,Rice,USF,USF,-,-,50,19.51,50,19.51,244.28,2.28,0.93,12.0,0.93,3.22,0.3,0.08
Rocco Becht,Iowa State,KanSt,KanSt,-,-,51,19.40,51,19.40,246.25,1.85,0.67,13.3,6.15,6.07,1.0,0.25
Kurtis Rourke,Indiana,Purdue,Purdue,-,-,52,19.35,52,19.35,241.47,1.57,0.66,11.2,19.31,6.44,3.0,0.25
Danny O'Neil,San Diego State,AF,AF,-,-,53,19.34,54,19.34,237.84,1.65,1.07,11.0,12.60,7.00,1.8,0.33
Matthew Sluka,UNLV,Nevada,Nevada,-,-,54,19.34,53,19.34,242.53,1.24,0.82,13.8,27.18,7.00,3.9,0.33
Brayden Fowler-Nicolosi,Colorado State,UtahSt,UtahSt,-,-,55,19.17,55,19.17,289.81,1.81,1.32,11.6,-1.73,2.89,-0.6,0.08
Logan Smothers,Jacksonville State,WestKy,JacSt,-,-,56,18.97,56,18.97,130.40,0.91,0.66,10.9,51.21,14.19,3.6,0.83
