,,Week 9 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Rahjai Harris,East Carolina,Temple,Temple,-,-,166,6.78,167,7.76,35.84,9.00,4.0,0.33,7.45,0.98,7.6,0.08
Jay Ducker,Sam Houston,FIU,SamHou,-,-,167,6.76,175,7.37,38.00,10.00,3.8,0.43,3.48,0.61,5.7,0.00
Andrew Henry,New Mexico,ColoSt,NM,-,-,168,6.74,163,7.86,40.00,8.00,5.0,0.34,6.80,1.12,6.1,0.00
Eli Heidenreich,Navy,ND,ND,-,-,169,6.72,148,8.47,22.33,3.00,7.4,0.08,29.83,1.75,17.0,0.17
Myles Bailey,Central Michigan,Mia-O,CentMi,-,-,170,6.57,171,7.63,42.30,9.00,4.7,0.25,8.67,1.06,8.2,0.00
Demie Sumo-Karngbaye,Kentucky,Auburn,Auburn,-,-,171,6.56,161,7.96,36.89,7.00,5.3,0.25,8.89,1.40,6.4,0.08
Kaelon Black,Indiana,Wash,Wash,-,-,172,6.49,162,7.89,40.13,9.00,4.5,0.17,9.91,1.40,7.1,0.08
CJ Hester,Massachusetts,Wagner,Wagner,-,-,173,6.38,166,7.83,26.55,7.00,3.8,0.34,11.61,1.45,8.0,0.09
Shomari Lawrence,Florida International,SamHou,SamHou,-,-,174,6.38,183,7.03,39.92,10.00,4.0,0.33,4.18,0.66,6.3,0.00
Victor Rosa,UConn,Rice,Rice,-,-,175,6.36,177,7.34,43.30,9.00,4.8,0.24,5.76,0.97,5.9,0.00
Pat Garwo,Nevada,Hawaii,Nevada,-,-,176,6.34,185,6.98,40.00,10.00,4.0,0.32,4.03,0.65,6.2,0.00
Quinten Joyner,USC,Rut,Rut,-,-,177,6.34,189,6.85,43.96,7.00,6.3,0.26,4.10,0.51,8.0,0.00
OJ Arnold,Georgia Southern,ODU,GaSo,-,-,178,6.33,179,7.26,36.37,7.00,5.2,0.34,6.40,0.94,6.8,0.00
Bill Jackson,Tulsa,Tx-SA,Tx-SA,-,-,179,6.30,181,7.16,47.35,11.00,4.3,0.17,5.33,0.86,6.2,0.00
Bryce Duke,Old Dominion,GaSo,GaSo,-,-,180,6.24,188,6.89,32.91,7.00,4.7,0.32,5.39,0.64,8.4,0.08
Dawson Pendergrass,Baylor,OkSt,OkSt,-,-,181,6.22,180,7.25,30.31,7.00,4.3,0.32,8.03,1.03,7.8,0.08
Charlie Offerdahl,Colorado,Cin,Cin,-,-,182,6.20,173,7.51,32.99,7.00,4.7,0.26,7.96,1.31,6.1,0.09
George Pettaway,James Madison,SouMis,SouMis,-,-,183,6.18,186,6.96,35.96,8.00,4.5,0.34,5.25,0.77,6.8,0.00
Evan Pryor,Cincinnati,Colo,Cin,-,-,184,6.17,182,7.04,36.87,9.00,4.1,0.26,3.84,0.87,4.4,0.09
Marquese Williams,Akron,EastMi,EastMi,-,-,185,6.11,176,7.37,32.01,7.00,4.6,0.31,10.22,1.26,8.1,0.00
Ron Wiggins,Jacksonville State,MiddTn,MiddTn,-,-,186,6.10,190,6.84,35.81,7.00,5.1,0.33,5.70,0.73,7.8,0.00
